medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
A584868C901EBCECEFBBE1DB4B8C8E24,BB6A401F6956956AB5FC01B8F00F62D0,VTS,2,,2013-09-04 15:29:00,2013-09-04 16:30:00,1,3660,21.51,-73.986549,40.755505,-73.798401,40.644951
B68D64ADB826927A83535E650F4016CA,46F6D04BAD6E4F4267423B8D536B0DCF,VTS,1,,2013-09-09 07:33:00,2013-09-09 07:49:00,1,960,2.86,-73.953285,40.771637,-73.938705,40.805054
6FD35EAC5708C2586746987E2E16B9AF,98858EC373ED7A6D8F6D7FDF3FC80914,CMT,1,N,2013-09-04 01:04:47,2013-09-04 01:06:43,1,116,.80,-73.974609,40.753792,-73.980263,40.743221
3A4EB0557BE14958D30039095CF91CAB,97D5E94A813906149DD2112E0C4AD074,VTS,1,,2013-09-09 07:26:00,2013-09-09 07:33:00,5,420,.84,-74.017723,40.704697,-74.010895,40.705311
3503EA792E21583B6A9D35DFA4BD0229,7A2525756F39111CC4A97BCD3346B321,VTS,1,,2013-09-13 06:46:00,2013-09-13 06:54:00,1,480,1.08,-73.993721,40.752457,-73.975998,40.745041
56A5EF1E281BE223A97C0075F017ABED,7E71330DF27CCC7991EBDBAB899029AA,VTS,1,,2013-09-07 18:16:00,2013-09-07 18:25:00,2,540,2.54,-74.016129,40.711216,-74.004517,40.742428
8755DA3E2498B28DF1C7797BA598D64B,FF408DD36133CE302E834F73521A708E,VTS,1,,2013-09-13 06:14:00,2013-09-13 06:45:00,1,1860,9.95,-73.9739,40.745987,-73.872299,40.774361
4FB81477831466402F49434071A3E6D0,87896E9FE9BFCDB6203360DC87116F74,VTS,1,,2013-09-08 22:29:00,2013-09-08 22:41:00,2,720,3.71,-73.992516,40.7244,-73.963692,40.688438
49FB6E186D4E1784996B3A88A8D96AAF,71E6D2747A7288D93F66287AFE6B6C40,VTS,1,,2013-09-13 07:08:00,2013-09-13 07:14:00,1,360,1.29,-73.9916,40.751186,-73.995583,40.763832
54EC3864DD7CB3DAEB7FF9D200EA82D4,0C27D30FED772BFEEBA3100CA6EF8CC6,VTS,2,,2013-09-04 05:10:00,2013-09-04 05:11:00,5,60,.00,-74.009964,40.720699,-74.009964,40.720699
1624746DCE973556C3E2FE7AE5B89E2A,196BE27FB378E6197E6EBE5AA02D0838,VTS,1,,2013-09-05 18:28:00,2013-09-05 18:42:00,1,840,1.73,-73.986809,40.749348,-73.982262,40.763062
7C4213FD4F01493DB3D3510EA119E9AF,3913CCCBF6CDD9ED5241B5897BF6D782,VTS,1,,2013-09-08 11:46:00,2013-09-08 12:05:00,5,1140,4.13,-73.941872,40.818027,-73.981773,40.776829
B098A5BFEC7DD038EAC7864547B1CE75,5D814B8006F3FE124B4D61F4A1F45246,VTS,1,,2013-09-04 20:21:00,2013-09-04 20:32:00,1,660,2.20,-73.983337,40.768288,-73.985573,40.744164
1B5E728F7A41380C6BF635EAA6A816C5,D92A5B18B2A059BBF703DCE319FC63E0,VTS,1,,2013-09-05 10:16:00,2013-09-05 10:35:00,4,1140,3.73,-73.95388,40.781818,-73.991188,40.748318
A3F3EF299418BDBF113733DFF765739D,4FBACB8EF6BD8A25EFC26E1995FFEF01,VTS,1,,2013-09-09 07:25:00,2013-09-09 07:28:00,1,180,.60,-73.961273,40.76062,-73.954407,40.764206
818B2426C5493017D5CFE68EFD34617E,D5E1EFC554B010E89D2E309C65FEA252,VTS,1,,2013-09-09 07:02:00,2013-09-09 07:15:00,1,780,3.60,-73.98996,40.741779,-73.977058,40.78183
9E465B42D859B55C4802DF51445025C5,947C7C09743AB1CB2072FDDCA1021767,VTS,1,,2013-09-06 23:46:00,2013-09-06 23:46:00,1,0,.00,0,0,0,0
B1EB574727E099E206EBC49C90B82979,3D8B2F5BD14BCC89DA49C8EAEBBE2E93,VTS,1,,2013-09-07 20:40:00,2013-09-07 20:55:00,1,900,1.33,-74.001244,40.731243,-73.987267,40.720512
789E7E64EC7C31A88C1683D3BA163A46,4D583693534CFC9F5B21B249B78751B2,VTS,1,,2013-09-13 06:59:00,2013-09-13 07:14:00,2,900,3.53,-73.98278,40.673477,-73.939072,40.654808
1E4422E1D46FF8824C0B9138B8657058,B41F850B146BB3ABDEA3B2B6071E2F51,VTS,2,,2013-09-13 06:28:00,2013-09-13 07:10:00,1,2520,18.71,-73.991898,40.764538,-73.776421,40.645161
50C6E9C9DEEC48A18273D57C325778B0,BB4DCD2FD883B6EB067A2887295CE7BC,VTS,1,,2013-09-13 06:47:00,2013-09-13 06:51:00,1,240,.98,-73.990196,40.757,-73.977623,40.758163
FA189EABBB4058AC0359AA1CF30F5313,428A8FDE9E3589FF0F7E83138260C5F7,VTS,1,,2013-09-05 19:25:00,2013-09-05 19:44:00,1,1140,4.44,-73.986412,40.740093,-73.984779,40.785847
2A1A880745E00DC1EBF3A3F32D1DB8F6,459275F8416EFCE68245726C98353805,VTS,1,,2013-09-07 17:49:00,2013-09-07 17:54:00,1,300,1.01,-73.99231,40.748882,-73.991364,40.738297
BC4E8A8FE24AEC698ABE084D2429D820,99D791B2934FAADBA25CFC58B6F02E18,VTS,1,,2013-09-04 09:24:00,2013-09-04 09:46:00,6,1320,2.26,-73.98893,40.777611,-73.984863,40.758492
BEFAAC1B4501C29C0B7A7B358B3564DD,09D6790EE915F62A2A4287877124E026,VTS,1,,2013-09-13 06:56:00,2013-09-13 07:01:00,1,300,.77,0,0,0,0
4C0D0C6662D6B60682E8A76D9CE82904,3CA03EC0F399E67017125F933BD871EC,VTS,1,,2013-09-13 07:17:00,2013-09-13 07:24:00,5,420,.90,-73.981476,40.741364,-73.99157,40.748993
